# Absolute STEP slot indices for IFC geometry entities
# Generated from references/ifc-spec/ifc4-add2-tc1/IFC4.exp
# Inherited attributes come FIRST -- this is what positional records use.
# Format: EntityName | index | AttrName | declared-in | type

IfcAdvancedBrep | 0 | Outer | IfcManifoldSolidBrep | IfcClosedShell

IfcAdvancedBrepWithVoids | 0 | Outer | IfcManifoldSolidBrep | IfcClosedShell
IfcAdvancedBrepWithVoids | 1 | Voids | IfcAdvancedBrepWithVoids | SET [1:?] OF IfcClosedShell

IfcAxis1Placement | 0 | Location | IfcPlacement | IfcCartesianPoint
IfcAxis1Placement | 1 | Axis | IfcAxis1Placement | OPTIONAL IfcDirection

IfcAxis2Placement2D | 0 | Location | IfcPlacement | IfcCartesianPoint
IfcAxis2Placement2D | 1 | RefDirection | IfcAxis2Placement2D | OPTIONAL IfcDirection

IfcAxis2Placement3D | 0 | Location | IfcPlacement | IfcCartesianPoint
IfcAxis2Placement3D | 1 | Axis | IfcAxis2Placement3D | OPTIONAL IfcDirection
IfcAxis2Placement3D | 2 | RefDirection | IfcAxis2Placement3D | OPTIONAL IfcDirection

IfcBSplineCurveWithKnots | 0 | Degree | IfcBSplineCurve | IfcInteger
IfcBSplineCurveWithKnots | 1 | ControlPointsList | IfcBSplineCurve | LIST [2:?] OF IfcCartesianPoint
IfcBSplineCurveWithKnots | 2 | CurveForm | IfcBSplineCurve | IfcBSplineCurveForm
IfcBSplineCurveWithKnots | 3 | ClosedCurve | IfcBSplineCurve | IfcLogical
IfcBSplineCurveWithKnots | 4 | SelfIntersect | IfcBSplineCurve | IfcLogical
IfcBSplineCurveWithKnots | 5 | KnotMultiplicities | IfcBSplineCurveWithKnots | LIST [2:?] OF IfcInteger
IfcBSplineCurveWithKnots | 6 | Knots | IfcBSplineCurveWithKnots | LIST [2:?] OF IfcParameterValue
IfcBSplineCurveWithKnots | 7 | KnotSpec | IfcBSplineCurveWithKnots | IfcKnotType

IfcBSplineSurfaceWithKnots | 0 | UDegree | IfcBSplineSurface | IfcInteger
IfcBSplineSurfaceWithKnots | 1 | VDegree | IfcBSplineSurface | IfcInteger
IfcBSplineSurfaceWithKnots | 2 | ControlPointsList | IfcBSplineSurface | LIST [2:?] OF LIST [2:?] OF IfcCartesianPoint
IfcBSplineSurfaceWithKnots | 3 | SurfaceForm | IfcBSplineSurface | IfcBSplineSurfaceForm
IfcBSplineSurfaceWithKnots | 4 | UClosed | IfcBSplineSurface | IfcLogical
IfcBSplineSurfaceWithKnots | 5 | VClosed | IfcBSplineSurface | IfcLogical
IfcBSplineSurfaceWithKnots | 6 | SelfIntersect | IfcBSplineSurface | IfcLogical
IfcBSplineSurfaceWithKnots | 7 | UMultiplicities | IfcBSplineSurfaceWithKnots | LIST [2:?] OF IfcInteger
IfcBSplineSurfaceWithKnots | 8 | VMultiplicities | IfcBSplineSurfaceWithKnots | LIST [2:?] OF IfcInteger
IfcBSplineSurfaceWithKnots | 9 | UKnots | IfcBSplineSurfaceWithKnots | LIST [2:?] OF IfcParameterValue
IfcBSplineSurfaceWithKnots | 10 | VKnots | IfcBSplineSurfaceWithKnots | LIST [2:?] OF IfcParameterValue
IfcBSplineSurfaceWithKnots | 11 | KnotSpec | IfcBSplineSurfaceWithKnots | IfcKnotType

IfcBlock | 0 | Position | IfcCsgPrimitive3D | IfcAxis2Placement3D
IfcBlock | 1 | XLength | IfcBlock | IfcPositiveLengthMeasure
IfcBlock | 2 | YLength | IfcBlock | IfcPositiveLengthMeasure
IfcBlock | 3 | ZLength | IfcBlock | IfcPositiveLengthMeasure

IfcBooleanClippingResult | 0 | Operator | IfcBooleanResult | IfcBooleanOperator
IfcBooleanClippingResult | 1 | FirstOperand | IfcBooleanResult | IfcBooleanOperand
IfcBooleanClippingResult | 2 | SecondOperand | IfcBooleanResult | IfcBooleanOperand

IfcBooleanResult | 0 | Operator | IfcBooleanResult | IfcBooleanOperator
IfcBooleanResult | 1 | FirstOperand | IfcBooleanResult | IfcBooleanOperand
IfcBooleanResult | 2 | SecondOperand | IfcBooleanResult | IfcBooleanOperand

IfcBoundaryCurve | 0 | Segments | IfcCompositeCurve | LIST [1:?] OF IfcCompositeCurveSegment
IfcBoundaryCurve | 1 | SelfIntersect | IfcCompositeCurve | IfcLogical

IfcBoundingBox | 0 | Corner | IfcBoundingBox | IfcCartesianPoint
IfcBoundingBox | 1 | XDim | IfcBoundingBox | IfcPositiveLengthMeasure
IfcBoundingBox | 2 | YDim | IfcBoundingBox | IfcPositiveLengthMeasure
IfcBoundingBox | 3 | ZDim | IfcBoundingBox | IfcPositiveLengthMeasure

IfcBoxedHalfSpace | 0 | BaseSurface | IfcHalfSpaceSolid | IfcSurface
IfcBoxedHalfSpace | 1 | AgreementFlag | IfcHalfSpaceSolid | IfcBoolean
IfcBoxedHalfSpace | 2 | Enclosure | IfcBoxedHalfSpace | IfcBoundingBox

IfcCartesianPoint | 0 | Coordinates | IfcCartesianPoint | LIST [1:3] OF IfcLengthMeasure

IfcCartesianPointList2D | 0 | CoordList | IfcCartesianPointList2D | LIST [1:?] OF LIST [2:2] OF IfcLengthMeasure

IfcCartesianPointList3D | 0 | CoordList | IfcCartesianPointList3D | LIST [1:?] OF LIST [3:3] OF IfcLengthMeasure

IfcCartesianTransformationOperator2D | 0 | Axis1 | IfcCartesianTransformationOperator | OPTIONAL IfcDirection
IfcCartesianTransformationOperator2D | 1 | Axis2 | IfcCartesianTransformationOperator | OPTIONAL IfcDirection
IfcCartesianTransformationOperator2D | 2 | LocalOrigin | IfcCartesianTransformationOperator | IfcCartesianPoint
IfcCartesianTransformationOperator2D | 3 | Scale | IfcCartesianTransformationOperator | OPTIONAL IfcReal

IfcCartesianTransformationOperator2DnonUniform | 0 | Axis1 | IfcCartesianTransformationOperator | OPTIONAL IfcDirection
IfcCartesianTransformationOperator2DnonUniform | 1 | Axis2 | IfcCartesianTransformationOperator | OPTIONAL IfcDirection
IfcCartesianTransformationOperator2DnonUniform | 2 | LocalOrigin | IfcCartesianTransformationOperator | IfcCartesianPoint
IfcCartesianTransformationOperator2DnonUniform | 3 | Scale | IfcCartesianTransformationOperator | OPTIONAL IfcReal
IfcCartesianTransformationOperator2DnonUniform | 4 | Scale2 | IfcCartesianTransformationOperator2DnonUniform | OPTIONAL IfcReal

IfcCartesianTransformationOperator3D | 0 | Axis1 | IfcCartesianTransformationOperator | OPTIONAL IfcDirection
IfcCartesianTransformationOperator3D | 1 | Axis2 | IfcCartesianTransformationOperator | OPTIONAL IfcDirection
IfcCartesianTransformationOperator3D | 2 | LocalOrigin | IfcCartesianTransformationOperator | IfcCartesianPoint
IfcCartesianTransformationOperator3D | 3 | Scale | IfcCartesianTransformationOperator | OPTIONAL IfcReal
IfcCartesianTransformationOperator3D | 4 | Axis3 | IfcCartesianTransformationOperator3D | OPTIONAL IfcDirection

IfcCartesianTransformationOperator3DnonUniform | 0 | Axis1 | IfcCartesianTransformationOperator | OPTIONAL IfcDirection
IfcCartesianTransformationOperator3DnonUniform | 1 | Axis2 | IfcCartesianTransformationOperator | OPTIONAL IfcDirection
IfcCartesianTransformationOperator3DnonUniform | 2 | LocalOrigin | IfcCartesianTransformationOperator | IfcCartesianPoint
IfcCartesianTransformationOperator3DnonUniform | 3 | Scale | IfcCartesianTransformationOperator | OPTIONAL IfcReal
IfcCartesianTransformationOperator3DnonUniform | 4 | Axis3 | IfcCartesianTransformationOperator3D | OPTIONAL IfcDirection
IfcCartesianTransformationOperator3DnonUniform | 5 | Scale2 | IfcCartesianTransformationOperator3DnonUniform | OPTIONAL IfcReal
IfcCartesianTransformationOperator3DnonUniform | 6 | Scale3 | IfcCartesianTransformationOperator3DnonUniform | OPTIONAL IfcReal

IfcCircle | 0 | Position | IfcConic | IfcAxis2Placement
IfcCircle | 1 | Radius | IfcCircle | IfcPositiveLengthMeasure

IfcCompositeCurve | 0 | Segments | IfcCompositeCurve | LIST [1:?] OF IfcCompositeCurveSegment
IfcCompositeCurve | 1 | SelfIntersect | IfcCompositeCurve | IfcLogical

IfcCompositeCurveOnSurface | 0 | Segments | IfcCompositeCurve | LIST [1:?] OF IfcCompositeCurveSegment
IfcCompositeCurveOnSurface | 1 | SelfIntersect | IfcCompositeCurve | IfcLogical

IfcCompositeCurveSegment | 0 | Transition | IfcCompositeCurveSegment | IfcTransitionCode
IfcCompositeCurveSegment | 1 | SameSense | IfcCompositeCurveSegment | IfcBoolean
IfcCompositeCurveSegment | 2 | ParentCurve | IfcCompositeCurveSegment | IfcCurve

IfcConnectionCurveGeometry | 0 | CurveOnRelatingElement | IfcConnectionCurveGeometry | IfcCurveOrEdgeCurve
IfcConnectionCurveGeometry | 1 | CurveOnRelatedElement | IfcConnectionCurveGeometry | OPTIONAL IfcCurveOrEdgeCurve

IfcConnectionPointEccentricity | 0 | PointOnRelatingElement | IfcConnectionPointGeometry | IfcPointOrVertexPoint
IfcConnectionPointEccentricity | 1 | PointOnRelatedElement | IfcConnectionPointGeometry | OPTIONAL IfcPointOrVertexPoint
IfcConnectionPointEccentricity | 2 | EccentricityInX | IfcConnectionPointEccentricity | OPTIONAL IfcLengthMeasure
IfcConnectionPointEccentricity | 3 | EccentricityInY | IfcConnectionPointEccentricity | OPTIONAL IfcLengthMeasure
IfcConnectionPointEccentricity | 4 | EccentricityInZ | IfcConnectionPointEccentricity | OPTIONAL IfcLengthMeasure

IfcConnectionPointGeometry | 0 | PointOnRelatingElement | IfcConnectionPointGeometry | IfcPointOrVertexPoint
IfcConnectionPointGeometry | 1 | PointOnRelatedElement | IfcConnectionPointGeometry | OPTIONAL IfcPointOrVertexPoint

IfcConnectionSurfaceGeometry | 0 | SurfaceOnRelatingElement | IfcConnectionSurfaceGeometry | IfcSurfaceOrFaceSurface
IfcConnectionSurfaceGeometry | 1 | SurfaceOnRelatedElement | IfcConnectionSurfaceGeometry | OPTIONAL IfcSurfaceOrFaceSurface

IfcConnectionVolumeGeometry | 0 | VolumeOnRelatingElement | IfcConnectionVolumeGeometry | IfcSolidOrShell
IfcConnectionVolumeGeometry | 1 | VolumeOnRelatedElement | IfcConnectionVolumeGeometry | OPTIONAL IfcSolidOrShell

IfcCsgSolid | 0 | TreeRootExpression | IfcCsgSolid | IfcCsgSelect

IfcCurveBoundedPlane | 0 | BasisSurface | IfcCurveBoundedPlane | IfcPlane
IfcCurveBoundedPlane | 1 | OuterBoundary | IfcCurveBoundedPlane | IfcCurve
IfcCurveBoundedPlane | 2 | InnerBoundaries | IfcCurveBoundedPlane | SET [0:?] OF IfcCurve

IfcCurveBoundedSurface | 0 | BasisSurface | IfcCurveBoundedSurface | IfcSurface
IfcCurveBoundedSurface | 1 | Boundaries | IfcCurveBoundedSurface | SET [1:?] OF IfcBoundaryCurve
