resource	kind	name	abstract	type_kind
ifcgeometryresource	type	ifcarcindex	false	defined
ifcgeometryresource	function	ifcassociatedsurface	false	-
ifcgeometryresource	entity	ifcaxis1placement	false	-
ifcgeometryresource	type	ifcaxis2placement	false	select
ifcgeometryresource	entity	ifcaxis2placement2d	false	-
ifcgeometryresource	entity	ifcaxis2placement3d	false	-
ifcgeometryresource	function	ifcbaseaxis	false	-
ifcgeometryresource	entity	ifcboundarycurve	false	-
ifcgeometryresource	entity	ifcboundedcurve	true	-
ifcgeometryresource	entity	ifcboundedsurface	true	-
ifcgeometryresource	entity	ifcbsplinecurve	true	-
ifcgeometryresource	type	ifcbsplinecurveform	false	enum
ifcgeometryresource	entity	ifcbsplinecurvewithknots	false	-
ifcgeometryresource	entity	ifcbsplinesurface	true	-
ifcgeometryresource	type	ifcbsplinesurfaceform	false	enum
ifcgeometryresource	entity	ifcbsplinesurfacewithknots	false	-
ifcgeometryresource	function	ifcbuild2axes	false	-
ifcgeometryresource	function	ifcbuildaxes	false	-
ifcgeometryresource	entity	ifccartesianpoint	false	-
ifcgeometryresource	entity	ifccartesiantransformationoperator	true	-
ifcgeometryresource	entity	ifccartesiantransformationoperator2d	false	-
ifcgeometryresource	entity	ifccartesiantransformationoperator2dnonuniform	false	-
ifcgeometryresource	entity	ifccartesiantransformationoperator3d	false	-
ifcgeometryresource	entity	ifccartesiantransformationoperator3dnonuniform	false	-
ifcgeometryresource	entity	ifccircle	false	-
ifcgeometryresource	entity	ifccompositecurve	false	-
ifcgeometryresource	entity	ifccompositecurveonsurface	false	-
ifcgeometryresource	entity	ifccompositecurvesegment	false	-
ifcgeometryresource	entity	ifcconic	true	-
ifcgeometryresource	function	ifcconsecutivesegments	false	-
ifcgeometryresource	function	ifcconstraintsparambspline	false	-
ifcgeometryresource	function	ifccrossproduct	false	-
ifcgeometryresource	entity	ifccurve	true	-
ifcgeometryresource	entity	ifccurveboundedplane	false	-
ifcgeometryresource	entity	ifccurveboundedsurface	false	-
ifcgeometryresource	function	ifccurvedim	false	-
ifcgeometryresource	type	ifccurveonsurface	false	select
ifcgeometryresource	function	ifccurveweightspositive	false	-
ifcgeometryresource	entity	ifccylindricalsurface	false	-
ifcgeometryresource	type	ifcdimensioncount	false	defined
ifcgeometryresource	entity	ifcdirection	false	-
ifcgeometryresource	function	ifcdotproduct	false	-
ifcgeometryresource	entity	ifcelementarysurface	true	-
ifcgeometryresource	entity	ifcellipse	false	-
ifcgeometryresource	function	ifcfirstprojaxis	false	-
ifcgeometryresource	entity	ifcgeometricrepresentationitem	true	-
ifcgeometryresource	function	ifcgetbasissurface	false	-
ifcgeometryresource	entity	ifcindexedpolycurve	false	-
ifcgeometryresource	entity	ifcintersectioncurve	false	-
ifcgeometryresource	type	ifcknottype	false	enum
ifcgeometryresource	entity	ifcline	false	-
ifcgeometryresource	type	ifclineindex	false	defined
ifcgeometryresource	function	ifclisttoarray	false	-
ifcgeometryresource	function	ifcmakearrayofarray	false	-
ifcgeometryresource	entity	ifcmappeditem	false	-
ifcgeometryresource	function	ifcnormalise	false	-
ifcgeometryresource	entity	ifcoffsetcurve2d	false	-
ifcgeometryresource	entity	ifcoffsetcurve3d	false	-
ifcgeometryresource	function	ifcorthogonalcomplement	false	-
ifcgeometryresource	entity	ifcouterboundarycurve	false	-
ifcgeometryresource	entity	ifcpcurve	false	-
ifcgeometryresource	entity	ifcplacement	true	-
ifcgeometryresource	entity	ifcplane	false	-
ifcgeometryresource	entity	ifcpoint	true	-
ifcgeometryresource	entity	ifcpointoncurve	false	-
ifcgeometryresource	entity	ifcpointonsurface	false	-
ifcgeometryresource	entity	ifcpolyline	false	-
ifcgeometryresource	type	ifcpreferredsurfacecurverepresentation	false	enum
ifcgeometryresource	entity	ifcrationalbsplinecurvewithknots	false	-
ifcgeometryresource	entity	ifcrationalbsplinesurfacewithknots	false	-
ifcgeometryresource	entity	ifcrectangulartrimmedsurface	false	-
ifcgeometryresource	entity	ifcreparametrisedcompositecurvesegment	false	-
ifcgeometryresource	entity	ifcrepresentationitem	true	-
ifcgeometryresource	entity	ifcrepresentationmap	false	-
ifcgeometryresource	function	ifcsameaxis2placement	false	-
ifcgeometryresource	function	ifcsamecartesianpoint	false	-
ifcgeometryresource	function	ifcsamedirection	false	-
ifcgeometryresource	function	ifcsamevalue	false	-
ifcgeometryresource	function	ifcscalartimesvector	false	-
ifcgeometryresource	entity	ifcseamcurve	false	-
ifcgeometryresource	function	ifcsecondprojaxis	false	-
ifcgeometryresource	type	ifcsegmentindexselect	false	select
ifcgeometryresource	entity	ifcsphericalsurface	false	-
ifcgeometryresource	entity	ifcsurface	true	-
ifcgeometryresource	entity	ifcsurfacecurve	false	-
ifcgeometryresource	entity	ifcsurfaceoflinearextrusion	false	-
ifcgeometryresource	entity	ifcsurfaceofrevolution	false	-
ifcgeometryresource	function	ifcsurfaceweightspositive	false	-
ifcgeometryresource	entity	ifcsweptsurface	true	-
ifcgeometryresource	entity	ifctoroidalsurface	false	-
ifcgeometryresource	type	ifctransitioncode	false	enum
ifcgeometryresource	entity	ifctrimmedcurve	false	-
ifcgeometryresource	type	ifctrimmingpreference	false	enum
ifcgeometryresource	type	ifctrimmingselect	false	select
ifcgeometryresource	entity	ifcvector	false	-
ifcgeometryresource	function	ifcvectordifference	false	-
ifcgeometryresource	type	ifcvectorordirection	false	select
ifcgeometryresource	function	ifcvectorsum	false	-
ifcgeometricmodelresource	entity	ifcadvancedbrep	false	-
ifcgeometricmodelresource	entity	ifcadvancedbrepwithvoids	false	-
ifcgeometricmodelresource	entity	ifcblock	false	-
ifcgeometricmodelresource	entity	ifcbooleanclippingresult	false	-
ifcgeometricmodelresource	type	ifcbooleanoperand	false	select
ifcgeometricmodelresource	type	ifcbooleanoperator	false	enum
ifcgeometricmodelresource	entity	ifcbooleanresult	false	-
ifcgeometricmodelresource	entity	ifcboundingbox	false	-
ifcgeometricmodelresource	entity	ifcboxedhalfspace	false	-
ifcgeometricmodelresource	entity	ifccartesianpointlist	true	-
ifcgeometricmodelresource	entity	ifccartesianpointlist2d	false	-
ifcgeometricmodelresource	entity	ifccartesianpointlist3d	false	-
