resource	kind	name	abstract	type_kind	bridge_owner	neutral_owner	status
ifcgeometryresource	type	ifcarcindex	false	defined	curve::polyline	axiolid-model	modeled-type
ifcgeometryresource	function	ifcassociatedsurface	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometryresource	entity	ifcaxis1placement	false	-	resource::placement	axiolid-core	view-or-family
ifcgeometryresource	type	ifcaxis2placement	false	select	resource::placement	axiolid-core	modeled-type
ifcgeometryresource	entity	ifcaxis2placement2d	false	-	resource::placement	axiolid-core	view-or-family
ifcgeometryresource	entity	ifcaxis2placement3d	false	-	resource::placement	axiolid-core	view-or-family
ifcgeometryresource	function	ifcbaseaxis	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometryresource	entity	ifcboundarycurve	false	-	curve::composite	axiolid-curve + axiolid-model::CurveRelation	view-or-family
ifcgeometryresource	entity	ifcboundedcurve	true	-	select::subtype	axiolid-curve + axiolid-model::CurveRelation	inventory
ifcgeometryresource	entity	ifcboundedsurface	true	-	surface::bounded	axiolid-surface + axiolid-model::SurfaceRelation	inventory
ifcgeometryresource	entity	ifcbsplinecurve	true	-	curve::bspline	axiolid-curve + axiolid-model::CurveRelation	inventory
ifcgeometryresource	type	ifcbsplinecurveform	false	enum	curve::bspline	axiolid-curve + axiolid-model::CurveRelation	modeled-type
ifcgeometryresource	entity	ifcbsplinecurvewithknots	false	-	curve::bspline	axiolid-curve + axiolid-model::CurveRelation	view-or-family
ifcgeometryresource	entity	ifcbsplinesurface	true	-	surface::bspline	axiolid-surface + axiolid-model::SurfaceRelation	inventory
ifcgeometryresource	type	ifcbsplinesurfaceform	false	enum	surface::bspline	axiolid-surface + axiolid-model::SurfaceRelation	modeled-type
ifcgeometryresource	entity	ifcbsplinesurfacewithknots	false	-	surface::bspline	axiolid-surface + axiolid-model::SurfaceRelation	view-or-family
ifcgeometryresource	function	ifcbuild2axes	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometryresource	function	ifcbuildaxes	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometryresource	entity	ifccartesianpoint	false	-	resource::point	axiolid-core	view-or-family
ifcgeometryresource	entity	ifccartesiantransformationoperator	true	-	resource::operator	axiolid-core	inventory
ifcgeometryresource	entity	ifccartesiantransformationoperator2d	false	-	resource::operator	axiolid-core	view-or-family
ifcgeometryresource	entity	ifccartesiantransformationoperator2dnonuniform	false	-	resource::operator	axiolid-core	view-or-family
ifcgeometryresource	entity	ifccartesiantransformationoperator3d	false	-	resource::operator	axiolid-core	view-or-family
ifcgeometryresource	entity	ifccartesiantransformationoperator3dnonuniform	false	-	resource::operator	axiolid-core	view-or-family
ifcgeometryresource	entity	ifccircle	false	-	curve	axiolid-curve + axiolid-model::CurveRelation	view-or-family
ifcgeometryresource	entity	ifccompositecurve	false	-	curve::composite	axiolid-curve + axiolid-model::CurveRelation	view-or-family
ifcgeometryresource	entity	ifccompositecurveonsurface	false	-	curve::composite	axiolid-surface + axiolid-model::SurfaceRelation	view-or-family
ifcgeometryresource	entity	ifccompositecurvesegment	false	-	curve::composite	axiolid-curve + axiolid-model::CurveRelation	view-or-family
ifcgeometryresource	entity	ifcconic	true	-	curve::conic	axiolid-curve + axiolid-model::CurveRelation	inventory
ifcgeometryresource	function	ifcconsecutivesegments	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometryresource	function	ifcconstraintsparambspline	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometryresource	function	ifccrossproduct	false	-	resource::functions	axiolid-core	native-primitive
ifcgeometryresource	entity	ifccurve	true	-	select::subtype	axiolid-curve + axiolid-model::CurveRelation	inventory
ifcgeometryresource	entity	ifccurveboundedplane	false	-	surface::bounded	axiolid-surface + axiolid-model::SurfaceRelation	view-or-family
ifcgeometryresource	entity	ifccurveboundedsurface	false	-	surface::bounded	axiolid-surface + axiolid-model::SurfaceRelation	view-or-family
ifcgeometryresource	function	ifccurvedim	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometryresource	type	ifccurveonsurface	false	select	select::aggregate_selects	axiolid-surface + axiolid-model::SurfaceRelation	modeled-type
ifcgeometryresource	function	ifccurveweightspositive	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometryresource	entity	ifccylindricalsurface	false	-	surface::elementary	axiolid-surface + axiolid-model::SurfaceRelation	view-or-family
ifcgeometryresource	type	ifcdimensioncount	false	defined	select::aggregate_selects	axiolid-model	modeled-type
ifcgeometryresource	entity	ifcdirection	false	-	resource::direction	axiolid-core	view-or-family
ifcgeometryresource	function	ifcdotproduct	false	-	resource::functions	axiolid-core	native-primitive
ifcgeometryresource	entity	ifcelementarysurface	true	-	surface::elementary	axiolid-surface + axiolid-model::SurfaceRelation	inventory
ifcgeometryresource	entity	ifcellipse	false	-	curve	axiolid-curve + axiolid-model::CurveRelation	view-or-family
ifcgeometryresource	function	ifcfirstprojaxis	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometryresource	entity	ifcgeometricrepresentationitem	true	-	select::subtype	axiolid-model	inventory
ifcgeometryresource	function	ifcgetbasissurface	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometryresource	entity	ifcindexedpolycurve	false	-	curve::polyline	axiolid-curve + axiolid-model::CurveRelation	view-or-family
ifcgeometryresource	entity	ifcintersectioncurve	false	-	curve::offset	axiolid-curve + axiolid-model::CurveRelation	view-or-family
ifcgeometryresource	type	ifcknottype	false	enum	curve::bspline	axiolid-model	modeled-type
ifcgeometryresource	entity	ifcline	false	-	curve::line	axiolid-curve + axiolid-model::CurveRelation	view-or-family
ifcgeometryresource	type	ifclineindex	false	defined	curve::polyline	axiolid-curve + axiolid-model::CurveRelation	modeled-type
ifcgeometryresource	function	ifclisttoarray	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometryresource	function	ifcmakearrayofarray	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometryresource	entity	ifcmappeditem	false	-	resource::mapped	axiolid-model	view-or-family
ifcgeometryresource	function	ifcnormalise	false	-	resource::functions	axiolid-core	native-primitive
ifcgeometryresource	entity	ifcoffsetcurve2d	false	-	curve::offset	axiolid-curve + axiolid-model::CurveRelation	view-or-family
ifcgeometryresource	entity	ifcoffsetcurve3d	false	-	curve::offset	axiolid-curve + axiolid-model::CurveRelation	view-or-family
ifcgeometryresource	function	ifcorthogonalcomplement	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometryresource	entity	ifcouterboundarycurve	false	-	curve::composite	axiolid-curve + axiolid-model::CurveRelation	view-or-family
ifcgeometryresource	entity	ifcpcurve	false	-	curve::offset	axiolid-curve + axiolid-model::CurveRelation	view-or-family
ifcgeometryresource	entity	ifcplacement	true	-	resource::placement	axiolid-core	inventory
ifcgeometryresource	entity	ifcplane	false	-	surface::elementary	axiolid-surface + axiolid-model::SurfaceRelation	view-or-family
ifcgeometryresource	entity	ifcpoint	true	-	resource::point	axiolid-core	inventory
ifcgeometryresource	entity	ifcpointoncurve	false	-	resource::point	axiolid-curve + axiolid-model::CurveRelation	view-or-family
ifcgeometryresource	entity	ifcpointonsurface	false	-	resource::point	axiolid-surface + axiolid-model::SurfaceRelation	view-or-family
ifcgeometryresource	entity	ifcpolyline	false	-	curve::polyline	axiolid-curve + axiolid-model::CurveRelation	view-or-family
ifcgeometryresource	type	ifcpreferredsurfacecurverepresentation	false	enum	curve::offset	axiolid-surface + axiolid-model::SurfaceRelation	modeled-type
ifcgeometryresource	entity	ifcrationalbsplinecurvewithknots	false	-	curve::bspline	axiolid-curve + axiolid-model::CurveRelation	view-or-family
ifcgeometryresource	entity	ifcrationalbsplinesurfacewithknots	false	-	surface::bspline	axiolid-surface + axiolid-model::SurfaceRelation	view-or-family
ifcgeometryresource	entity	ifcrectangulartrimmedsurface	false	-	surface::bounded	axiolid-surface + axiolid-model::SurfaceRelation	view-or-family
ifcgeometryresource	entity	ifcreparametrisedcompositecurvesegment	false	-	curve::composite	axiolid-curve + axiolid-model::CurveRelation	view-or-family
ifcgeometryresource	entity	ifcrepresentationitem	true	-	select::subtype	axiolid-model	inventory
ifcgeometryresource	entity	ifcrepresentationmap	false	-	resource::mapped	axiolid-model	view-or-family
ifcgeometryresource	function	ifcsameaxis2placement	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometryresource	function	ifcsamecartesianpoint	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometryresource	function	ifcsamedirection	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometryresource	function	ifcsamevalue	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometryresource	function	ifcscalartimesvector	false	-	resource::functions	axiolid-core	native-primitive
ifcgeometryresource	entity	ifcseamcurve	false	-	curve::offset	axiolid-curve + axiolid-model::CurveRelation	view-or-family
ifcgeometryresource	function	ifcsecondprojaxis	false	-	resource::functions	ifc-geometry	scaffolded
